;R2;MSE;window_size;batch_size;number_of_nodes_MLP;FILTERS
13;0.8110858152549945;[0.6543561838482911, 0.5081300735473633];64;64;64;64
11;0.8132014068792862;[0.65578790491482, 0.5];64;32;64;64
12;0.8120363468746984;[0.6566047297108848, 0.5150214433670044];64;64;64;64
9;0.8125171226889722;[0.6567844032341579, 0.5100401639938354];64;32;64;64
10;0.8113531255420858;[0.6579938236497483, 0.5181818008422852];64;32;64;64
0;0.8417440916977423;[0.710931333417664, 0.48728814721107483];32;32;64;64
2;0.8421364611028493;[0.7109331411872796, 0.4838709533214569];32;32;64;64
1;0.8418741096294584;[0.7110904369525567, 0.46441948413848877];32;32;64;64
5;0.8434340152226323;[0.7112451590106873, 0.4728682041168213];32;64;64;64
3;0.8437286465409569;[0.7120592360368032, 0.45035460591316223];32;64;64;64
4;0.8438957357740604;[0.7121465172239406, 0.4562043845653534];32;64;64;64
8;0.845035492606254;[0.7132775953072987, 0.46014493703842163];32;128;64;64
7;0.8447431507972722;[0.7135681235147807, 0.4532374143600464];32;128;64;64
6;0.8448549787060752;[0.7142825938627392, 0.45035460591316223];32;128;64;64
