;R2;MSE;window_size;batch_size;number_of_nodes_MLP
3;0.746883943409263;0.12458023502769566;32;64;32
11;0.7032771667894328;0.16416723891293206;64;32;128
2;0.7179646657969423;0.1927632905928537;32;32;128
0;0.7169780611634968;0.20224573165334203;32;32;32
7;0.7199365114737414;0.21706304134984067;32;128;64
10;0.674180128484402;0.22561302973889186;64;32;64
14;0.6728570198337986;0.22774376391040385;64;64;128
5;0.7238358832048085;0.22878237909278798;32;64;128
4;0.7206279808532692;0.23545831245955118;32;64;64
1;0.7133900640967363;0.23961297924298652;32;32;64
8;0.7160626992494047;0.24280973025085217;32;128;128
6;0.7192106450389245;0.24292639030625207;32;128;32
9;0.6647848054373039;0.2480380718907491;64;32;32
12;0.6607651908892506;0.2561863277297185;64;64;32
13;0.6602169696340021;0.2665786444869592;64;64;64
